symbol,name,reportDate,fiscalDateEnding,estimate,currency
A,Agilent Technologies Inc,2/27/2024,1/31/2024,1.22,USD
A,Agilent Technologies Inc,5/21/2024,4/30/2024,1.26,USD
AA,Alcoa Corp,4/17/2024,3/31/2024,-0.41,USD
AACTF,AACTF,2/28/2024,12/31/2023,,USD
AADI,Aadi Bioscience Inc,3/26/2024,12/31/2023,-0.65,USD
AADI,Aadi Bioscience Inc,5/8/2024,3/31/2024,-0.7033,USD
AAGIY,AAGIY,3/8/2024,12/31/2023,1.18,USD
AAIC,AAIC,3/29/2024,12/31/2023,0.05,USD
AAIC,AAIC,5/13/2024,3/31/2024,,USD
AAIGF,AAIGF,3/8/2024,12/31/2023,0.2952,USD
AAL,American Airlines Group Inc,4/25/2024,3/31/2024,-0.22,USD
AAM-PA,AAM-PA,5/7/2024,3/31/2024,,USD
AAMC,Altisource Asset Management Corp,3/21/2024,12/31/2023,,USD
AAMC,Altisource Asset Management Corp,5/13/2024,3/31/2024,,USD
AAME,Atlantic American Corp,3/22/2024,12/31/2023,0,USD
AAN,Aarons Company Inc (The),2/26/2024,12/31/2023,0.03,USD
AAN,Aarons Company Inc (The),4/22/2024,3/31/2024,0.36,USD
AAOI,Applied Optoelectronics Inc,2/22/2024,12/31/2023,-0.01,USD
AAOI,Applied Optoelectronics Inc,5/2/2024,3/31/2024,-0.0067,USD
AAON,AAON Inc,2/28/2024,12/31/2023,0.51,USD
AAON,AAON Inc,5/2/2024,3/31/2024,0.46,USD
AAP,Advance Auto Parts Inc,2/28/2024,12/31/2023,0.23,USD
AAPL,Apple Inc,5/2/2024,3/31/2024,1.41,USD
AAT,American Assets Trust Inc,4/23/2024,3/31/2024,0.14,USD
AATC,AATC,3/19/2024,12/31/2023,0,USD
AATC,AATC,5/7/2024,3/31/2024,,USD
